,ticker,Date,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Operating Activities,Repurchase Of Stock,Dividends Paid
2018-11-04,AVGO,2018-11-04,-249000000.0,-325000000.0,-4674000000.0,-973000000.0,-11118000000.0,212000000.0,12259000000.0,-6912000000.0,,8880000000.0,4081000000.0,-2000000.0,417000000.0,-652000000.0,-45000000.0,-6504000000.0,-635000000.0,-396000000.0,-7314000000.0,-2998000000.0
2017-10-29,AVGO,2017-10-29,-7000000.0,-97000000.0,-674000000.0,3758000000.0,2230000000.0,257000000.0,1692000000.0,8107000000.0,,6551000000.0,4737000000.0,-9000000.0,-39000000.0,-267000000.0,-132000000.0,1108000000.0,-1069000000.0,-583000000.0,-7314000000.0,-1653000000.0
2021-01-31,WDAY,2021-01-31,-979178000.0,323904000.0,-1241624000.0,479033000.0,625049000.0,148673000.0,-282431000.0,653200000.0,1334000.0,1268441000.0,293657000.0,,,-159240000.0,-2657000.0,1076919000.0,-253380000.0,-150708000.0,,
2020-01-31,WDAY,2020-01-31,-79458000.0,375311000.0,-896922000.0,-30000.0,125124000.0,125673000.0,-480674000.0,92518000.0,-282000.0,864598000.0,276278000.0,-9000.0,,-176141000.0,-519000.0,891833000.0,-243694000.0,-166684000.0,,
2019-01-31,WDAY,2019-01-31,1025690000.0,350295000.0,-842784000.0,-350030000.0,-256711000.0,93567000.0,-418258000.0,-493451000.0,-614000.0,606658000.0,198111000.0,-9000.0,,-160527000.0,-248000.0,599270000.0,-202507000.0,-93445000.0,,
2018-01-31,WDAY,2018-01-31,-695889000.0,308335000.0,-978980000.0,1132101000.0,1106262000.0,69056000.0,-321222000.0,593760000.0,751000.0,465727000.0,135723000.0,-9000.0,,-114613000.0,-94895000.0,470046000.0,-141536000.0,-114020000.0,,
2020-12-31,ICE,2020-12-31,4000000.0,2000000.0,-9830000000.0,8696000000.0,6744000000.0,,2089000000.0,-197000000.0,8000000.0,2881000000.0,561000000.0,22000000.0,,-149000000.0,38000000.0,181000000.0,-207000000.0,18000000.0,-1321000000.0,-669000000.0
2019-12-31,ICE,2019-12-31,69000000.0,-18000000.0,-594000000.0,370000000.0,-1753000000.0,,1933000000.0,316000000.0,4000000.0,2659000000.0,456000000.0,-6000000.0,,-30000000.0,23000000.0,124000000.0,-153000000.0,19000000.0,-1525000000.0,-621000000.0
2018-12-31,ICE,2018-12-31,-229000000.0,1000000.0,-1755000000.0,1330000000.0,-463000000.0,,1988000000.0,304000000.0,-11000000.0,2533000000.0,422000000.0,-6000000.0,,-44000000.0,40000000.0,59000000.0,-134000000.0,-53000000.0,-1278000000.0,-555000000.0
2017-12-31,ICE,2017-12-31,111000000.0,8000000.0,92000000.0,-275000000.0,-1971000000.0,,2526000000.0,218000000.0,12000000.0,2085000000.0,394000000.0,-6000000.0,,-135000000.0,-183000000.0,-731000000.0,-220000000.0,-112000000.0,-1037000000.0,-476000000.0
2021-03-31,TTWO,2021-03-31,-635332000.0,231139000.0,-806724000.0,,-57338000.0,14214000.0,588886000.0,66855000.0,18599000.0,912318000.0,88550000.0,,2503000.0,47195000.0,,124103000.0,-68923000.0,-275248000.0,-71552000.0,
2020-03-31,TTWO,2020-03-31,69473000.0,244273000.0,4049000.0,,-77453000.0,10515000.0,404459000.0,601406000.0,-10868000.0,685678000.0,68618000.0,,8489000.0,-195484000.0,,263469000.0,-53384000.0,-276071000.0,-87968000.0,
2019-03-31,TTWO,2019-03-31,-128458000.0,505865000.0,-223576000.0,,-463685000.0,10515000.0,333837000.0,145615000.0,-10639000.0,843515000.0,63605000.0,,-14403000.0,-98075000.0,,366404000.0,-66969000.0,-507513000.0,-463685000.0,
2018-03-31,TTWO,2018-03-31,-174904000.0,397130000.0,-271827000.0,,-281467000.0,10515000.0,173533000.0,-34843000.0,24924000.0,493527000.0,67032000.0,,3917000.0,-26998000.0,-13791000.0,98196000.0,-87522000.0,-311772000.0,-267676000.0,
2020-12-31,BIIB,2020-12-31,111900000.0,-67500000.0,-608600000.0,1467400000.0,-5272700000.0,,4000600000.0,-1582500000.0,69000000.0,4229800000.0,457200000.0,-26900000.0,-316300000.0,2800000.0,-61000000.0,-40800000.0,-424800000.0,193800000.0,-6679100000.0,
2019-12-31,BIIB,2019-12-31,1233700000.0,16100000.0,470500000.0,1467400000.0,-5860400000.0,,5888500000.0,1689100000.0,400000.0,7078600000.0,464700000.0,27000000.0,-19200000.0,68800000.0,7900000.0,526100000.0,-514500000.0,133600000.0,-5868300000.0,
2018-12-31,BIIB,2018-12-31,339400000.0,321700000.0,-2046300000.0,-3200000.0,-4472000000.0,,4430700000.0,-349200000.0,-18600000.0,6187700000.0,650500000.0,400000.0,-52100000.0,-205200000.0,-116200000.0,706300000.0,-770600000.0,335800000.0,-4352600000.0,
2017-12-31,BIIB,2017-12-31,210700000.0,1303900000.0,-2963100000.0,-560900000.0,-2380000000.0,,2539100000.0,-752700000.0,39400000.0,4551000000.0,721600000.0,-11000000.0,-94500000.0,-435600000.0,-453700000.0,1054900000.0,-867400000.0,-538400000.0,-1365400000.0,
2020-12-31,NXPI,2020-12-31,-27000000.0,319000000.0,-418000000.0,191000000.0,-835000000.0,72000000.0,52000000.0,1230000000.0,1000000.0,2482000000.0,1946000000.0,,163000000.0,-51000000.0,-51000000.0,31000000.0,-392000000.0,7000000.0,-627000000.0,-420000000.0
2019-12-31,NXPI,2019-12-31,-18000000.0,-460000000.0,-2284000000.0,191000000.0,-1831000000.0,84000000.0,243000000.0,-1744000000.0,-2000000.0,2373000000.0,2039000000.0,,128000000.0,116000000.0,-25000000.0,245000000.0,-526000000.0,43000000.0,-1571000000.0,-319000000.0
2018-12-31,NXPI,2018-12-31,-3000000.0,-129000000.0,-522000000.0,723000000.0,-4597000000.0,39000000.0,2208000000.0,-758000000.0,-8000000.0,4369000000.0,1979000000.0,,-65000000.0,187000000.0,-137000000.0,193000000.0,-611000000.0,-22000000.0,-5148000000.0,-74000000.0
2017-12-31,NXPI,2017-12-31,-3000000.0,225000000.0,2072000000.0,-2744000000.0,-2886000000.0,233000000.0,2215000000.0,1653000000.0,20000000.0,2447000000.0,2129000000.0,6000000.0,-120000000.0,31000000.0,-89000000.0,-2006000000.0,-552000000.0,-100000000.0,-286000000.0,-74000000.0
2020-10-02,SWKS,2020-10-02,-182900000.0,61100000.0,-581400000.0,,-907700000.0,79900000.0,814800000.0,-284600000.0,,1204500000.0,330100000.0,,-190400000.0,71700000.0,,193000000.0,-389400000.0,-75800000.0,-680600000.0,-307000000.0
2019-09-27,SWKS,2019-09-27,86500000.0,-33000000.0,-336900000.0,,-912500000.0,41800000.0,853600000.0,118000000.0,,1367400000.0,337500000.0,,-119600000.0,190500000.0,,121800000.0,-398400000.0,16600000.0,-680400000.0,-273900000.0
2018-09-28,SWKS,2018-09-28,-315500000.0,-126000000.0,-1150400000.0,,-993700000.0,57000000.0,918400000.0,-883500000.0,,1260600000.0,290800000.0,,11900000.0,-193800000.0,,130900000.0,-422300000.0,228400000.0,-807500000.0,-243200000.0
2017-09-29,SWKS,2017-09-29,3200000.0,147800000.0,-325900000.0,,-597400000.0,68800000.0,1010200000.0,533000000.0,,1456300000.0,254800000.0,,-69200000.0,-37100000.0,29900000.0,48900000.0,-303300000.0,100900000.0,-481500000.0,-214600000.0
2021-01-31,PLAY,2021-01-31,,-9576000.0,-81960000.0,-38250000.0,118420000.0,182699000.0,-206974000.0,-12764000.0,,-49224000.0,139364000.0,595000.0,10670000.0,,-20209000.0,22597000.0,-83016000.0,62852000.0,-929000.0,-4891000.0
2020-02-02,PLAY,2020-02-02,,2026000.0,-227291000.0,254000000.0,-58585000.0,1051000.0,100263000.0,3070000.0,,288946000.0,132967000.0,595000.0,-7162000.0,,-20209000.0,15706000.0,-228091000.0,54342000.0,-297912000.0,-15724000.0
2019-02-03,PLAY,2019-02-03,,11122000.0,-203808000.0,27000000.0,-131018000.0,3350000.0,117221000.0,2790000.0,,337616000.0,118534000.0,12112000.0,245000.0,,-20209000.0,14807000.0,-216286000.0,63938000.0,-149798000.0,-11570000.0
2018-02-04,PLAY,2018-02-04,,-4071000.0,-216623000.0,102500000.0,-49337000.0,2986000.0,120949000.0,-1288000.0,,264672000.0,102766000.0,3200000.0,-5700000.0,,-2910000.0,3533000.0,-219901000.0,45816000.0,-151913000.0,-11570000.0
2020-12-31,CERN,2020-12-31,-363387000.0,-28163000.0,-801237000.0,297500000.0,-461497000.0,253605000.0,780088000.0,173772000.0,-199000.0,1436705000.0,450110000.0,,960000.0,3686000.0,-10519000.0,-141406000.0,-283981000.0,104122000.0,-780622000.0,-221461000.0
2019-12-28,CERN,2019-12-28,215107000.0,-47979000.0,-640408000.0,600000000.0,-601380000.0,258036000.0,529454000.0,67717000.0,-3594000.0,1313099000.0,460552000.0,,1855000.0,58113000.0,-8450000.0,125145000.0,-471518000.0,-36856000.0,-1337143000.0,-113823000.0
2018-12-29,CERN,2018-12-29,-71497000.0,146740000.0,-828937000.0,-75000000.0,-609787000.0,91349000.0,630059000.0,3203000.0,-12082000.0,1454009000.0,432363000.0,,-9307000.0,-207785000.0,6864000.0,129851000.0,-446928000.0,149709000.0,-633000000.0,-113823000.0
2017-12-30,CERN,2017-12-30,-339974000.0,3846000.0,-1005851000.0,-75000000.0,-110984000.0,76705000.0,866978000.0,200062000.0,9222000.0,1307675000.0,407473000.0,,-972000.0,-32836000.0,-2671000.0,130428000.0,-362083000.0,-258850000.0,-185018000.0,-113823000.0
2020-12-31,EEFT,2020-12-31,,99632000.0,-105531000.0,265243000.0,35398000.0,18101000.0,-3399000.0,282129000.0,98757000.0,253505000.0,127021000.0,-6803000.0,,63629000.0,-6428000.0,108458000.0,-97628000.0,-143937000.0,-241518000.0,
2019-12-31,EEFT,2019-12-31,,53682000.0,-229027000.0,500202000.0,416298000.0,14979000.0,346749000.0,686427000.0,-5332000.0,504488000.0,111744000.0,-3553000.0,,-87882000.0,-24427000.0,45628000.0,-131287000.0,4302000.0,-74456000.0,
2018-12-31,EEFT,2018-12-31,,54911000.0,-132283000.0,170478000.0,2024000.0,18608000.0,232851000.0,230434000.0,-36540000.0,397233000.0,106021000.0,-6945000.0,,26497000.0,-9207000.0,52290000.0,-112484000.0,-76141000.0,-177855000.0,
2017-12-31,EEFT,2017-12-31,,7564000.0,-101858000.0,-169355000.0,-161149000.0,10990000.0,156845000.0,88430000.0,65161000.0,286276000.0,95030000.0,-4623000.0,-11602000.0,-198089000.0,281000.0,18560000.0,-97235000.0,169679000.0,-3065000.0,
2020-12-31,ANET,2020-12-31,-365998000.0,91513000.0,-608802000.0,,-346339000.0,57556000.0,634557000.0,-218061000.0,1966000.0,735114000.0,44590000.0,,-235318000.0,10673000.0,,141653000.0,-15384000.0,38641000.0,-403895000.0,
2019-12-31,ANET,2019-12-31,-266956000.0,-13876000.0,-284072000.0,,-217964000.0,57378000.0,859867000.0,461351000.0,353000.0,963034000.0,32849000.0,,20927000.0,-60210000.0,,29520000.0,-15751000.0,70434000.0,-275342000.0,
2018-12-31,ANET,2018-12-31,-634462000.0,109870000.0,-755113000.0,-1929000.0,42851000.0,53658000.0,328115000.0,-210533000.0,-1390000.0,503119000.0,27671000.0,,51054000.0,-77916000.0,,43746000.0,-23830000.0,20691000.0,-8878000.0,
2017-12-31,ANET,2017-12-31,-379041000.0,112223000.0,-391320000.0,-1617000.0,51469000.0,57111000.0,423201000.0,292529000.0,753000.0,631627000.0,20640000.0,3000000.0,-69708000.0,5773000.0,,85305000.0,-15279000.0,34272000.0,-4025000.0,
2020-12-31,SSNC,2020-12-31,-700000.0,-71800000.0,-210500000.0,-738200000.0,-1428100000.0,189700000.0,625200000.0,-451500000.0,2400000.0,1184700000.0,685800000.0,10300000.0,,21800000.0,-504900000.0,-65900000.0,-34800000.0,-95100000.0,-238600000.0,-136100000.0
